BegTime,BegDate,Distance_AVG,ListTime,ListPitch,ListYaw,ListRoll,EndTime,DateEnd
15:31:31.595004,2021-06-16,59.833333333333336,15:32:24.331953,-40.91,-9,10,2021-06-16,15:32:30.311432
09:31:38.370885,2021-06-17,67.78571428571429,09:31:52.083614,79.53,4,3,2021-06-17,09:31:52.704433
09:32:17.176718,2021-06-17,104.42528735632185,09:34:28.635574,40.28,0,2,2021-06-17,09:34:29.254431
09:39:46.846278,2021-06-17,60.0,09:39:53.126171,-46.66,4,2,2021-06-17,09:39:53.439399
09:43:23.356578,2021-06-17,64.5,09:43:35.006687,-25.37,13,1,2021-06-17,09:43:35.622434
09:55:22.373944,2021-06-17,56.794871794871796,09:55:47.127632,-22.53,2,1,2021-06-17,09:55:49.876231
09:55:53.656342,2021-06-17,59.925,09:56:17.030132,18.5,9,1,2021-06-17,09:56:17.676625
09:57:06.718547,2021-06-17,53.26315789473684,09:57:21.355188,76.63,14,0,2021-06-17,09:57:22.012789
09:57:42.355066,2021-06-17,54.785714285714285,09:57:54.545087,-23.76,14,1,2021-06-17,09:57:56.021427
09:58:11.007641,2021-06-17,54.61904761904762,09:58:25.790930,-17.66,10,1,2021-06-17,09:58:26.445791
09:58:55.421611,2021-06-17,53.29032258064516,09:59:25.480526,54.27,14,0,2021-06-17,09:59:26.121523
10:01:03.817919,2021-06-17,76.09302325581395,10:03:05.255340,67.74,17,0,2021-06-17,10:03:11.254130
10:03:15.217248,2021-06-17,59.01724137931034,10:03:53.904091,48.8,9,0,2021-06-17,10:03:54.555265
10:16:49.324220,2021-06-17,67.1304347826087,10:17:11.512676,-35.58,2,4,2021-06-17,10:17:11.833013
