BegTime,BegDate,ListDist,listeTime,ListPitch,ListYaw,ListRoll
14:41:50.088599,2021-06-24,54,14:42:09.880412,-2.69,9,0
14:42:53.133461,2021-06-24,89,14:43:00.077198,-86.26,12,-2
14:42:53.133461,2021-06-24,73,14:43:00.837585,69.17,-53,19
14:42:53.133461,2021-06-24,73,14:43:01.294547,46.47,-52,179
14:42:53.133461,2021-06-24,73,14:43:01.758507,65.8,13,-2
14:42:53.133461,2021-06-24,69,14:43:05.530753,6.23,31,-179
14:42:53.133461,2021-06-24,55,14:43:09.750748,82.37,5,0
14:42:53.133461,2021-06-24,58,14:43:10.509937,-40.27,10,0
14:42:53.133461,2021-06-24,66,14:43:11.648749,0.89,13,-6
14:42:53.133461,2021-06-24,73,14:43:16.828270,-2.84,13,0
14:42:53.133461,2021-06-24,66,14:43:17.964733,78.76,13,0
14:42:53.133461,2021-06-24,74,14:43:22.579859,-0.31,9,5
14:42:53.133461,2021-06-24,74,14:43:23.338855,-25.21,4,2
14:42:53.133461,2021-06-24,69,14:43:24.096547,-18.92,8,2
14:42:53.133461,2021-06-24,54,14:43:26.045471,-27.34,19,-4
14:42:53.133461,2021-06-24,66,14:43:26.804814,53.37,13,-10
14:42:53.133461,2021-06-24,60,14:43:28.759656,-4.47,7,-8
14:42:53.133461,2021-06-24,65,14:43:29.516180,9.28,1,0
14:42:53.133461,2021-06-24,73,14:43:31.164925,62.53,4,27
14:42:53.133461,2021-06-24,73,14:43:31.622593,59.37,10,22
14:42:53.133461,2021-06-24,85,14:43:39.051593,36.45,16,1
14:42:53.133461,2021-06-24,65,14:43:40.638876,-63.61,11,-4
14:44:19.208127,2021-06-24,0,14:44:24.182317,-32.37,9,-2
14:44:19.208127,2021-06-24,79,14:44:27.111520,51.13,14,-3
14:44:19.208127,2021-06-24,66,14:44:28.574926,3.31,11,-1
14:44:19.208127,2021-06-24,65,14:44:30.041925,48.58,12,0
14:44:19.208127,2021-06-24,60,14:44:35.267899,29.08,6,-6
14:44:19.208127,2021-06-24,57,14:44:38.863438,-50.28,11,0
14:44:19.208127,2021-06-24,58,14:44:40.326467,-21.42,10,-2
14:44:19.208127,2021-06-24,63,14:44:41.787427,-39.58,9,-5
14:45:39.833346,2021-06-24,0,14:45:44.777223,45.74,-10,14
14:45:39.833346,2021-06-24,67,14:45:50.785295,-66.09,-28,13
14:45:39.833346,2021-06-24,67,14:45:55.942191,-18.79,-15,9
14:45:39.833346,2021-06-24,49,14:46:04.411989,27.98,9,-3
14:45:39.833346,2021-06-24,56,14:46:12.879615,82.76,14,-3
14:45:39.833346,2021-06-24,53,14:46:18.339759,73.48,16,-4
